Name,STN,pVal
AT5G40450.1,-3.1143,1.00E-04
AT5G65620.1,-2.8386,1.00E-04
sum53,-1.9376,0.0014
AT3G15980.1,-1.6495,0.0033
AT1G56340.1,1.6097,0.0037
AT1G62180.1,1.5642,0.004
AT4G39800.1,1.5632,0.004
sum126,1.5194,0.0047
AT3G42050.1,1.5143,0.0048
AT1G29150.1,1.5143,0.0048
AT2G39800.1,1.5033,0.0048
AT4G16143.1,1.4785,0.0056
AT3G11830.1,1.457,0.006
AT5G55480.1,-1.4549,0.0061
AT3G57260.1,-1.4291,0.0068
AT4G18810.1,1.3863,0.0075
AT4G01050.1,1.3787,0.0076
sum16,1.3741,0.0077
AT5G35790.1,1.36,0.0078
AT4G00490.1,1.36,0.0078
AT1G57770.1,1.36,0.0078
AT1G68560.1,-1.36,0.0081
AT4G17300.1,1.3504,0.0082
AT5G17310.2,1.3385,0.0085
AT1G62020.1,1.3242,0.0088
AT5G19370.1,-1.3239,0.0089
AT5G35360.1,1.2987,0.0092
AT5G55220.1,1.292,0.0094
AT3G24430.1,1.2877,0.0095
AT1G16460.1,-1.2877,0.0108
AT1G21880.2,-1.2877,0.0108
AT5G37850.1,-1.2528,0.0116
AT1G71220.1,-1.2515,0.0116
AT5G46290.1,1.2359,0.012
sum140,1.2331,0.0121
AT1G16720.1,1.2283,0.0122
AT5G58140.1,1.2195,0.0124
AT3G43540.1,1.2118,0.0127
AT1G80480.1,1.2118,0.0127
AT3G55260.1,1.2118,0.0127
AT3G54400.1,1.2118,0.0127
AT3G13460.1,-1.206,0.0134
AT4G22485.1,-1.206,0.0134
AT5G62530.1,1.204,0.0134
AT5G49650.1,1.2011,0.0136
AT3G05590.1,1.2007,0.0136
AT3G06650.1,1.188,0.0139
AT1G24510.1,1.1713,0.0144
AT2G22125.1,-1.1713,0.0145
AT4G16660.1,-1.1713,0.0145
AT5G19220.1,1.171,0.0145
AT1G74920.1,1.1708,0.0145
AT2G32240.1,-1.1382,0.0156
sum85,1.1318,0.0158
AT2G30520.1,1.1318,0.0158
AT4G33030.1,1.1318,0.0158
AT3G14990.1,1.1318,0.0158
AT4G25100.1,1.1318,0.0158
AT2G25830.1,-1.1318,0.0172
sum18,1.117,0.0177
AT1G57720.1,1.1125,0.0179
AT5G65430.1,-1.1074,0.0181
AT5G07440.1,1.107,0.0183
sum42,1.0934,0.019
sum81,-1.084,0.0194
AT3G48560.1,1.0816,0.0195
AT5G66680.1,1.0643,0.0201
AT5G57490.1,-1.0643,0.0206
AT5G26360.1,1.0591,0.0208
AT5G67030.1,1.0591,0.0208
AT4G24620.1,1.0504,0.0213
AT3G11630.1,-1.0503,0.0214
AT5G06600.1,-1.0493,0.0214
AT3G48000.1,1.0488,0.0215
AT3G16520.3,1.0474,0.0215
AT3G63520.1,1.0405,0.0229
AT1G18070.1,1.0404,0.0233
AT4G32520.1,1.0404,0.0233
sum213,1.0399,0.0234
AT1G22530.1,-1.0396,0.0234
AT5G35170.1,1.0352,0.0235
AT3G49910.1,1.0255,0.0243
AT3G03960.1,1.0145,0.0247
AT5G20080.1,-1.0082,0.0249
AT1G02500.1,1.0031,0.0252
AT5G64040.1,1.001,0.0252
AT3G62120.1,0.999,0.0254
AT4G13930.1,0.9974,0.0255
AT5G19820.1,-0.999,0.0255
AT3G04550.1,0.9911,0.0259
AT5G43330.1,0.99,0.026
sum79,0.9884,0.0261
AT3G54660.1,0.9884,0.0261
AT1G74910.1,0.9884,0.0261
AT3G43300.2,-0.9871,0.0265
AT3G52990.1,0.9745,0.027
AT3G13860.1,0.9745,0.027
AT2G41680.1,0.9745,0.027
AT5G17990.1,-0.9745,0.0272
AT5G23820.1,0.969,0.0278
AT2G36580.1,0.9577,0.0283
AT1G26850.1,0.9577,0.0283
AT2G31790.1,0.9577,0.0283
AT5G09900.1,0.9577,0.0283
AT2G22360.1,0.9577,0.0283
sum62,0.9577,0.0283
AT1G64790.1,-0.9594,0.0283
AT1G12310.1,-0.9577,0.0307
AT5G66140.1,-0.9577,0.0307
AT3G03980.1,-0.9577,0.0307
AT1G09620.1,-0.9568,0.0309
AT2G21390.1,-0.956,0.0309
AT2G19860.1,0.949,0.0312
sum95,0.9447,0.0314
AT5G26000.1,0.9423,0.0315
AT1G78300.1,-0.9431,0.0315
sum31,-0.9411,0.0316
sum31,-0.9411,0.0316
AT3G57290.1,0.9402,0.0317
sum124,-0.9387,0.032
AT1G65260.1,-0.9375,0.0321
AT3G09260.1,0.9355,0.0321
AT1G48030.1,0.9322,0.0324
AT3G59870.1,0.9297,0.0325
AT1G29900.1,-0.9318,0.0325
AT4G19410.1,-0.9311,0.0325
sum64,0.9235,0.0334
sum77,0.9206,0.0336
AT5G48300.1,0.9199,0.0337
AT1G48600.1,0.9185,0.0338
AT4G24830.1,0.9182,0.0338
AT1G02930.1,-0.9107,0.0344
AT3G22890.1,0.9105,0.0345
AT4G27090.1,0.9089,0.0345
AT4G28080.1,-0.9106,0.0346
AT5G64050.1,0.902,0.0356
AT1G53580.1,-0.902,0.036
AT5G64460.1,-0.902,0.0361
AT3G19480.1,0.901,0.0361
AT5G47110.1,-0.9005,0.0362
AT3G58610.1,0.8996,0.0362
AT1G59870.1,-0.9004,0.0362
ATCG01060.1,0.8983,0.0364
AT2G34040.1,0.8983,0.0364
AT5G28500.1,0.8973,0.0368
AT4G04040.1,0.8914,0.0371
AT2G42600.1,-0.8829,0.0379
AT1G64190.1,0.8814,0.038
AT2G24270.1,0.8734,0.0388
AT1G78900.1,0.8712,0.039
sum137,0.8649,0.0394
AT1G67280.1,-0.8654,0.0394
AT5G02160.1,0.8619,0.0398
AT1G52000.1,0.8619,0.0398
AT5G17050.1,0.8619,0.0398
AT1G08550.1,0.8619,0.0398
AT3G59020.1,0.8619,0.0398
AT5G14740.2,-0.8616,0.0414
ATCG00170.1,-0.8619,0.0414
AT3G50590.1,-0.8619,0.0414
AT1G59610.1,-0.8619,0.0414
AT3G18680.1,-0.8619,0.0414
ATMG00510.1,-0.8619,0.0414
AT1G15950.1,-0.8619,0.0414
AT1G72610.1,-0.8619,0.0414
AT5G48220.1,-0.8619,0.0414
sum88,-0.8619,0.0414
AT3G18860.1,-0.8619,0.0414
AT2G25840.1,-0.8619,0.0414
AT3G14840.2,-0.8619,0.0414
AT1G65960.2,0.8612,0.0415
AT2G22170.1,0.8608,0.0415
AT1G77590.1,0.8601,0.0415
AT5G41670.1,0.8587,0.0416
AT1G02280.1,-0.8601,0.0417
AT5G65010.1,0.8556,0.0418
AT4G01690.1,0.8483,0.0424
AT2G44640.1,0.8466,0.0431
AT5G13420.1,0.8466,0.0431
AT3G62360.1,-0.8475,0.0432
AT4G38800.1,-0.8466,0.0434
AT3G27300.1,0.8419,0.0435
sum71,0.8419,0.0435
AT4G29840.1,0.8405,0.0436
sum141,-0.8396,0.0438
AT1G69740.1,0.8371,0.044
sum206,0.837,0.044
AT5G42270.1,0.8343,0.0442
AT4G17090.1,0.8338,0.0443
AT3G57610.1,0.8338,0.0443
AT5G53460.1,-0.8329,0.0447
AT3G07720.1,-0.8323,0.0449
sum204,0.8307,0.045
AT4G24190.1,-0.8301,0.0451
AT2G21870.1,-0.8285,0.0452
AT1G48520.1,0.8246,0.0453
ATCG00190.1,0.8243,0.0455
AT3G06580.1,0.8243,0.0455
AT1G44920.1,0.8243,0.0455
AT2G40660.1,0.8243,0.0455
AT2G45990.1,-0.8243,0.046
AT3G06350.1,0.8223,0.0461
AT3G04870.1,0.8223,0.0461
AT2G42690.1,0.8223,0.0461
AT2G26900.1,-0.8223,0.0469
AT3G25860.1,0.8205,0.047
AT5G19760.1,-0.8161,0.0474
AT3G20050.1,0.814,0.0475
AT4G00570.1,0.814,0.0475
AT1G64520.1,-0.8132,0.0479
AT2G33150.1,0.8073,0.0485
AT3G54640.1,-0.8073,0.0486
AT1G78630.1,0.8031,0.0488
AT5G12040.1,0.8023,0.0489
AT5G48880.1,0.8023,0.0489
AT5G42650.1,0.7986,0.0497
AT3G08590.1,0.7927,0.0501
AT3G52140.1,-0.7922,0.0502
AT1G69620.1,0.7886,0.0505
AT5G52920.1,0.7871,0.0506
AT5G23010.1,0.7871,0.0506
AT2G36880.1,0.7864,0.0507
ATCG00270.1,-0.7858,0.0508
AT1G30630.1,-0.7851,0.0509
AT1G74470.1,0.7832,0.051
AT5G10360.1,-0.7811,0.0513
AT3G15640.1,0.7803,0.0513
AT3G28715.1,-0.7801,0.0515
sum106,0.7784,0.0516
AT5G06290.1,-0.776,0.052
AT3G57410.1,-0.7706,0.0525
AT1G74260.1,-0.7697,0.0526
AT2G19480.1,0.7639,0.0531
AT5G10920.1,0.7639,0.0531
AT5G54770.1,-0.7647,0.0531
AT3G09810.1,0.7639,0.0532
sum138,0.7622,0.0534
AT3G23940.1,0.7618,0.0535
AT3G27925.1,0.7615,0.0535
AT1G10370.1,-0.7615,0.0537
AT1G63660.1,0.7596,0.0537
sum84,0.7596,0.0537
AT5G08570.1,0.7596,0.0537
AT4G34490.1,0.7588,0.0551
sum99,0.7588,0.0551
AT3G07460.1,0.7588,0.0551
AT4G33500.1,0.7588,0.0551
AT1G09830.1,0.7588,0.0551
AT1G06820.1,0.7588,0.0551
AT1G09430.1,0.7588,0.0551
AT3G52500.1,0.7588,0.0551
AT5G19860.1,0.7588,0.0551
AT1G48860.1,0.7588,0.0551
AT5G34850.1,0.7588,0.0551
AT5G66420.1,0.7588,0.0551
AT4G39660.1,0.7588,0.0551
AT4G37550.1,0.7588,0.0551
AT1G49970.1,-0.7596,0.0551
AT2G29360.1,-0.7596,0.0551
AT4G39690.1,-0.7596,0.0551
AT1G68680.1,-0.7588,0.0626
AT1G63610.1,-0.7588,0.0626
AT3G61260.1,-0.7588,0.0626
AT1G33040.1,-0.7588,0.0626
AT2G39970.1,-0.7588,0.0626
AT4G23890.1,-0.7588,0.0626
sum145,-0.7588,0.0626
sum112,-0.7588,0.0626
AT3G23570.1,-0.7588,0.0626
AT1G75040.1,-0.7588,0.0626
AT4G21580.1,-0.7588,0.0626
AT3G16460.1,-0.7588,0.0626
AT1G33680.1,-0.7588,0.0626
AT3G01290.1,-0.7588,0.0626
AT3G03890.1,-0.7588,0.0626
AT4G28780.1,-0.7588,0.0626
AT3G15690.2,-0.7588,0.0626
AT3G04720.1,-0.7588,0.0626
AT4G14160.1,-0.7588,0.0626
AT3G17940.1,-0.7588,0.0626
ATCG01100.1,-0.7584,0.0627
AT1G29470.1,-0.7584,0.0629
sum58,-0.7584,0.0629
AT5G25980.2,0.7557,0.0631
AT5G16970.1,0.7541,0.0631
AT2G22780.1,-0.7506,0.0635
AT1G03680.1,-0.7496,0.0637
sum40,-0.7481,0.0639
AT1G33590.1,0.746,0.0641
AT5G64860.1,0.7425,0.0643
AT3G42170.1,-0.7425,0.0648
sum103,-0.7425,0.0648
AT1G26630.1,0.7407,0.0649
AT5G17530.1,0.7375,0.0653
AT4G39460.1,-0.7375,0.0658
AT5G63860.1,0.7351,0.066
AT5G44720.1,0.7351,0.066
AT4G11010.1,0.7343,0.0672
AT5G26742.1,0.7333,0.0675
sum119,0.7328,0.0676
AT3G20000.1,0.7306,0.0678
AT3G01280.1,-0.7285,0.0685
AT3G58730.1,-0.7286,0.0685
AT3G14290.1,-0.728,0.0685
AT5G03690.2,0.7273,0.0686
AT3G47370.1,0.7268,0.0686
AT3G27240.1,-0.7272,0.0686
AT2G41740.1,-0.7208,0.0692
AT3G49110.1,-0.7202,0.0692
sum115,0.7198,0.0694
AT2G33210.1,0.7148,0.0699
AT5G19510.1,-0.714,0.07
AT5G12860.1,-0.7104,0.0709
AT5G57850.1,-0.7104,0.0709
AT3G48990.1,0.7062,0.0712
AT5G62790.1,0.7062,0.0712
AT2G30050.1,-0.704,0.0717
AT5G13410.1,0.7011,0.0721
AT3G02520.1,-0.7011,0.0724
AT5G56680.1,-0.7011,0.0724
sum129,0.6968,0.0729
AT1G66970.1,-0.6967,0.0729
AT3G61470.1,-0.6953,0.073
AT4G19170.1,0.6918,0.0735
AT2G38270.1,-0.6918,0.0736
AT5G43830.1,-0.6918,0.0736
AT3G14067.1,0.6899,0.0738
AT3G29320.1,-0.6889,0.0739
AT1G03860.1,-0.6886,0.074
AT5G20290.1,-0.6877,0.0741
AT3G63460.1,-0.6844,0.0743
sum27,0.6819,0.0751
AT5G59890.1,-0.6814,0.0752
AT3G22960.1,0.6782,0.0756
AT3G55040.1,-0.6781,0.0756
AT1G62380.1,0.6776,0.0757
AT3G02090.1,0.6756,0.0759
AT3G45140.1,-0.6754,0.0759
AT5G39320.1,0.6753,0.076
AT3G09630.1,0.6731,0.0765
AT4G10480.1,-0.6729,0.0768
AT2G47730.1,-0.6716,0.0769
AT1G17290.1,0.6702,0.077
AT2G22990.1,0.6702,0.077
AT4G24800.1,0.6702,0.077
AT4G36530.1,0.6702,0.077
AT3G01910.1,0.6702,0.077
AT5G33320.1,-0.6702,0.0776
AT5G23310.1,-0.6702,0.0776
AT1G20960.1,-0.6697,0.0779
AT3G23990.1,0.6692,0.078
AT3G59970.3,0.6682,0.0781
AT3G54210.1,0.6678,0.0781
sum43,0.6677,0.0783
AT2G39990.1,-0.6657,0.0785
AT2G20420.1,-0.6657,0.0785
AT3G53420.1,0.6656,0.0785
AT4G33510.1,0.6633,0.0788
AT4G16155.1,0.6631,0.0788
sum201,-0.6606,0.0791
AT4G14800.1,-0.6592,0.0792
AT3G60370.1,0.6583,0.0793
AT4G02230.1,-0.6583,0.0815
AT5G46430.1,0.6581,0.0816
AT3G48420.1,-0.6525,0.0824
AT3G16470.1,0.6512,0.0827
AT3G18190.1,0.6512,0.0827
sum132,-0.6505,0.083
AT3G19760.1,0.6496,0.0831
AT3G46780.1,0.6479,0.0834
AT3G16140.1,0.6467,0.0837
AT3G25230.1,0.6467,0.0837
AT4G15630.1,0.6467,0.0837
AT5G44090.1,0.6467,0.0837
AT5G20140.1,0.6467,0.0837
AT4G26555.1,0.6467,0.0837
AT4G02840.1,0.6467,0.0837
AT3G04260.1,0.6467,0.0837
AT2G44100.1,0.6467,0.0837
AT3G02660.1,0.6467,0.0837
AT2G29960.1,0.6467,0.0837
AT3G13490.1,0.6467,0.0837
AT1G79560.1,0.6467,0.0837
AT1G10670.1,0.6467,0.0837
AT2G31750.1,0.6467,0.0837
AT2G44870.1,0.6467,0.0837
AT3G44590.1,-0.6467,0.0875
AT2G04400.1,-0.6467,0.0875
AT4G37200.1,-0.6467,0.0875
AT4G34830.1,-0.6467,0.0875
AT5G19750.1,-0.6467,0.0875
AT1G06290.1,-0.6467,0.0875
AT1G17890.1,-0.6467,0.0875
AT3G56130.1,-0.6467,0.0875
AT3G52180.1,-0.6467,0.0875
AT3G04780.1,-0.6467,0.0875
AT1G18640.2,-0.6467,0.0875
AT4G19006.1,-0.6467,0.0875
AT3G27380.1,-0.6467,0.0875
AT2G23350.1,0.6441,0.0878
AT1G77090.1,-0.6425,0.088
AT4G02620.1,0.6425,0.088
AT5G13980.1,0.6421,0.0881
AT1G04430.1,0.6398,0.089
AT2G34585.1,0.6398,0.089
AT1G48850.1,0.6398,0.089
AT4G34350.1,0.6398,0.089
AT3G20330.1,0.6398,0.089
AT4G12830.1,0.6398,0.089
AT2G25060.1,-0.6398,0.0898
AT5G63510.1,-0.6398,0.0898
AT3G26570.1,-0.6398,0.0898
AT5G51720.1,-0.6398,0.0898
AT4G26500.1,-0.6398,0.0898
AT3G54110.1,-0.6398,0.0898
AT1G14610.1,-0.6388,0.09
AT3G55400.1,0.6375,0.0903
AT5G44130.1,-0.6375,0.0907
AT2G34470.1,-0.6375,0.0907
sum76,-0.6375,0.0907
AT1G14250.1,-0.6375,0.0907
AT1G18270.1,-0.6375,0.0907
AT3G17020.1,0.6361,0.091
AT4G25450.1,0.6361,0.091
AT3G48690.1,0.6297,0.0922
AT5G42740.1,0.6294,0.0925
AT4G13430.1,0.6269,0.0928
AT4G39970.1,-0.6246,0.0933
AT1G17650.1,-0.6243,0.0934
AT3G27890.1,-0.6243,0.0934
ATCG00120.1,0.6239,0.0936
AT3G03780.1,-0.6191,0.0942
AT1G22700.1,0.6177,0.0946
AT1G31190.1,0.6175,0.0946
AT5G24300.1,0.6175,0.0946
AT1G09640.1,0.6118,0.0957
AT1G04810.1,-0.6104,0.0958
AT4G38220.1,0.61,0.096
ATCG00420.1,0.6068,0.0969
AT1G01960.1,-0.6036,0.0989
sum8,-0.6036,0.0989
AT3G55610.1,-0.6033,0.0989
sum50,0.6036,0.0991
AT1G06950.1,-0.6019,0.0992
AT1G74850.1,0.6001,0.0997
AT3G02200.2,-0.6001,0.1004
AT2G38550.1,-0.6001,0.1004
AT1G12000.1,0.5999,0.1006
AT3G58510.1,0.5998,0.1006
AT1G11910.1,-0.5983,0.1009
AT2G15620.1,0.5976,0.1012
AT3G29360.1,0.5958,0.1013
sum65,0.5954,0.1014
AT1G66670.1,-0.5951,0.1015
AT4G02510.1,-0.5928,0.1018
AT4G09670.1,-0.5919,0.1025
AT5G19550.1,-0.5909,0.1026
AT5G42390.1,-0.589,0.1028
sum28,0.5908,0.1028
AT1G10760.1,-0.5887,0.1029
AT4G25080.1,-0.5837,0.1036
AT1G78370.1,-0.5836,0.1037
AT4G24770.1,0.5855,0.1037
AT2G37270.1,-0.5811,0.1045
AT3G63140.1,0.5817,0.1046
AT3G22200.1,0.5811,0.1047
AT1G45474.1,-0.5811,0.1049
AT4G23400.1,-0.5807,0.1049
AT3G02560.1,-0.5791,0.1051
AT5G54160.1,-0.5779,0.1053
AT5G26830.1,0.5779,0.1054
AT3G55330.1,0.5751,0.1065
AT5G10450.1,-0.5692,0.1074
AT3G16000.1,0.5698,0.1074
ATCG00580.1,0.5698,0.1074
AT3G25800.1,0.5698,0.1075
ATCG00500.1,0.5691,0.1076
AT3G53110.1,0.5691,0.1076
AT1G56050.1,0.5691,0.1076
AT1G24100.1,0.5691,0.1076
AT3G59920.1,0.5691,0.1076
AT5G16715.1,0.5691,0.1076
AT5G60160.1,0.5691,0.1076
AT3G52155.1,0.5691,0.1076
sum73,-0.5691,0.1083
AT2G30490.1,0.5687,0.1086
AT1G61520.1,-0.5648,0.1096
AT3G52960.1,0.5627,0.1102
AT3G08920.1,0.5613,0.1105
AT2G20230.1,0.5613,0.1105
AT4G17830.1,0.5613,0.1105
AT3G20320.1,-0.5613,0.1109
AT3G11930.1,-0.5613,0.1109
AT5G60360.1,-0.5613,0.1109
AT3G16370.1,-0.5613,0.1109
AT2G21250.1,-0.5608,0.111
sum22,-0.5596,0.1115
AT2G38230.1,-0.5592,0.1116
AT3G56190.1,-0.5582,0.1124
AT1G32220.1,-0.5582,0.1124
AT4G10320.1,-0.5581,0.1125
AT1G01320.1,-0.5569,0.1126
AT3G48170.1,0.5579,0.1128
sum12,0.5574,0.1128
AT4G34200.1,0.5541,0.1136
AT1G21750.1,0.554,0.1136
AT1G79500.1,-0.5487,0.1145
AT4G34870.1,0.5488,0.1145
sum143,0.546,0.1154
AT2G30970.1,-0.545,0.1156
AT1G30580.1,0.545,0.1156
AT5G38480.1,-0.544,0.1158
AT3G49010.1,-0.543,0.1159
AT3G17390.1,0.5421,0.1163
AT5G13030.1,0.5416,0.1164
AT2G29290.2,0.5416,0.1164
AT1G53280.1,0.5416,0.1164
AT2G04039.1,-0.5416,0.1165
AT4G24820.1,-0.5416,0.1165
AT3G02760.1,-0.5416,0.1165
AT1G12240.1,-0.5416,0.1165
AT5G06060.1,-0.5416,0.1165
AT1G63000.1,-0.54,0.1169
sum93,0.5378,0.1176
AT3G56070.1,0.5378,0.1176
AT4G39120.1,0.5374,0.1179
AT2G47710.1,0.5374,0.1179
AT5G58440.1,0.5374,0.1179
AT4G09020.1,0.5374,0.1179
AT3G46100.1,0.5374,0.1179
AT4G27500.1,-0.5374,0.1237
AT1G14850.1,-0.5374,0.1237
AT1G79280.1,-0.5374,0.1237
AT5G51430.1,-0.5374,0.1237
AT1G08640.1,-0.5374,0.1237
AT5G56260.1,-0.5374,0.1237
AT5G49760.1,-0.5374,0.1237
AT2G44610.1,-0.5368,0.1237
AT4G10450.1,-0.5362,0.1239
AT2G36530.1,0.5369,0.124
AT4G29060.1,-0.5345,0.1242
AT4G22890.1,-0.5342,0.1242
sum13,0.5332,0.1247
AT3G07110.1,-0.5298,0.1251
AT1G25490.1,0.5305,0.1252
AT1G50200.1,0.5276,0.1258
AT2G45180.1,0.5271,0.1259
AT5G20280.1,-0.5271,0.1288
AT3G02360.1,0.5269,0.1291
AT3G11940.1,-0.5248,0.1292
AT3G52930.1,0.526,0.1293
AT3G16950.1,0.5253,0.1294
AT5G11670.1,0.5241,0.13
AT1G70770.1,0.5229,0.1301
AT4G04770.1,0.5229,0.1301
AT5G26667.1,0.5229,0.1301
AT4G16370.1,0.5229,0.1301
AT3G15356.1,0.5229,0.1301
AT2G25670.1,0.5229,0.1301
AT4G17340.1,0.5229,0.1301
sum49,0.5229,0.1301
AT1G04690.1,0.5229,0.1301
AT3G20820.1,0.5229,0.1301
AT5G53140.1,0.5229,0.1301
AT4G14210.1,0.5229,0.1301
AT5G23290.1,0.5229,0.1301
AT4G15110.1,0.5229,0.1301
AT4G03190.1,0.5229,0.1301
AT4G19003.1,0.5229,0.1301
AT2G44490.1,0.5229,0.1301
sum56,0.5229,0.1301
AT5G35970.1,0.5229,0.1301
AT5G35220.1,0.5229,0.1301
AT1G03220.1,0.5229,0.1301
AT5G62140.1,0.5229,0.1301
AT3G27740.1,0.5229,0.1301
AT5G39950.1,0.5229,0.1301
AT5G36160.1,0.5229,0.1301
AT5G13930.1,0.5229,0.1301
AT3G17770.1,0.5229,0.1301
AT5G36230.1,0.5229,0.1301
AT2G33340.1,0.5229,0.1301
AT5G55710.1,-0.5229,0.1429
AT1G76810.1,-0.5229,0.1429
ATCG01090.1,-0.5229,0.1429
AT3G21200.1,-0.5229,0.1429
AT5G37475.1,-0.5229,0.1429
AT1G71730.1,-0.5229,0.1429
AT5G47890.1,-0.5229,0.1429
AT3G12800.1,-0.5229,0.1429
AT5G14660.1,-0.5229,0.1429
AT2G39900.1,-0.5229,0.1429
AT3G51240.1,-0.5229,0.1429
AT2G35630.1,-0.5229,0.1429
AT2G02500.1,-0.5229,0.1429
AT5G44520.1,-0.5229,0.1429
AT3G55620.1,-0.5229,0.1429
sum121,-0.5229,0.1429
AT2G41950.1,-0.5229,0.1429
AT3G13160.1,-0.5229,0.1429
AT3G04610.1,-0.5229,0.1429
AT5G13850.1,0.5211,0.1435
AT5G67560.1,0.5206,0.1436
AT1G32060.1,0.5197,0.1438
AT1G26220.1,0.5193,0.1439
AT2G37790.1,0.5193,0.1439
AT3G11750.1,-0.5193,0.1445
AT1G71695.1,-0.5193,0.1445
AT1G24180.1,-0.5193,0.1445
AT5G49510.1,-0.5193,0.1445
AT3G26710.1,0.518,0.1457
AT5G10470.1,0.518,0.1457
AT2G44350.1,0.518,0.1457
AT5G20500.1,-0.518,0.1458
AT2G27020.1,-0.518,0.1458
AT4G33010.1,-0.5179,0.1459
sum210,0.5167,0.1465
AT5G63310.1,0.5167,0.1465
