Tissue,AT1G11390,AT1G61640,AT1G65950,AT1G71810,AT1G79600,AT2G39190,AT2G40090,AT3G07700,AT3G24190,AT4G01660,AT4G24810,AT4G31390,AT5G05200,AT5G24810,AT5G24970,AT5G50330,AT5G64940
carpel,0.7657029501965535,0.0,0.0,0.7028415653378298,0.794853939343844,0.8198319962212645,0.8208132457402876,0.8060230206979746,0.8158872316696179,1.0,0.8427556319667671,0.832219020977637,0.8229605622052668,0.9144096131599789,0.603412144331202,0.6783773023443261,0.9724238544068362
cauline leaf,0.6478809685876938,0.0,0.0,0.9389789066446634,0.9860066351447104,0.7017551286784385,0.8543078069396675,0.9607511521588983,0.8444029429694618,0.8467056788497413,0.869598872521732,1.0,0.9564736123352969,0.7783217144123831,0.0,0.0,0.9382870540160562
cotyledon,0.6962587643563249,0.0,0.0,0.9036653956514122,0.9198826238191746,0.7247521656303225,0.7171628625270369,0.7690154423057155,0.82205141955829,0.7176025127387013,0.7634893264948249,1.0,0.9540627575616631,0.716368145110681,0.49994331181498025,0.0,0.9796058608303464
dry seed stage,0.0,0.0,0.0,0.9323033084080292,0.9229655880623202,0.0,0.7882736089578841,1.0,0.5945710331770239,0.9392786220828011,0.0,0.9062499995540657,0.833924942475679,0.0,0.9108652220905913,0.0,0.0
embryo sac egg cell,0.9106253901653643,0.0,0.0,0.0,0.7773361327837989,0.0,0.9406890279720312,0.5400020309143644,0.0,1.0,0.0,0.8381824605710215,0.8964856288913572,0.815272559162323,0.732251484408585,0.7358572786414139,0.0
flower,0.7336817154414836,0.0,0.0,0.7813960693941842,0.905874504637937,0.7187602021983934,0.781861208765643,0.9482920523505766,0.8081241185799524,1.0,0.0,0.9616010188155775,0.9197653571596586,0.9053575580810851,0.554628643258533,0.6453741257236995,0.9425603917535678
fruit,0.7481331878752688,0.0,0.0,0.8243321834641506,0.932404852524337,0.8579648663387978,0.8066680305969051,0.8604330478399472,0.8588089612341537,0.9801149405001917,0.8941673956507794,0.919141294485272,0.8965420716919028,0.9398534401838631,0.693690579657799,0.6123921727471455,1.0
fruit septum,0.569700461644,0.0,0.0,0.8276461356665368,0.9313454102187836,0.0,0.7783226130260913,1.0,0.7223641098407406,0.8263214188072706,0.7441235816969805,0.9805912934248358,0.8725731980232683,0.8477116332604523,0.0,0.5610031110058865,0.7537855329959086
fruit valve,0.5419326982665018,0.0,0.0,0.8612385392103905,0.9469705125636841,0.0,0.712161292640344,1.0,0.6697905152532453,0.8022708276391021,0.6870970591010884,0.957352779473032,0.9312351396831927,0.7964662321444635,0.0,0.0,0.7590652675076052
leaf apex,0.0,0.0,0.0,0.8501894895686014,0.897229606721055,0.7810212928403262,0.7703517607708005,0.8404287641560063,0.8396454365047804,0.7969119553915432,0.8034093020360958,0.9680318412166229,0.860855039154395,0.767898326537309,0.0,0.0,1.0
leaf base,0.668947295299527,0.0,0.5231210717169219,0.8632607235876848,0.9106850616503844,0.7501284746592705,0.7398912357196529,0.7535690483575677,0.8192035806037291,0.824049701934955,0.8491355124969451,1.0,0.8285243354268147,0.7940528021152286,0.0,0.0,0.962821409968509
mature plant embryo stage,0.6994248278668296,0.0,0.0,0.7382786638248862,0.8725939694581866,0.6520460216114673,0.8320326839000316,0.9810591402390324,0.7807525508249757,0.9230835296591028,0.7271124866623526,0.9072026723432272,0.860424510477278,1.0,0.6665668580148836,0.6692937932649083,0.8727262541528966
pedicel,0.6611944495420947,0.0,0.0,0.878433018450881,0.9124710330282673,0.7979479267690744,0.7611459466878027,0.9051185059348184,0.8722766108948921,0.9140785735062725,0.8451389060562258,0.9473999809647032,0.8811994223417338,0.873596837631367,0.0,0.0,1.0
petal,0.811884854357128,0.5009262423608878,0.0,0.7779099695282062,0.9297624132331165,0.6618798772515113,0.8464004660865552,0.9773984801143971,0.8480332640749983,1.0,0.6792646964284941,0.9631003382825285,0.9337697160432816,0.898163937417386,0.6585699026716834,0.7078121139633395,0.8797023131422452
petiole,0.6868993322307418,0.0,0.0,0.844980827809694,0.8789163515919715,0.7661445945912092,0.7802664526963814,0.8402149431570426,0.8395967287541893,0.8381527656860638,0.8166222051385266,0.9300586795735885,0.8850321726844469,0.7614806959726431,0.5445333342932734,0.583392529506207,1.0
pollen,0.7676792872235941,0.0,0.0,0.0,0.0,0.0,0.7072105883552396,0.0,0.0,1.0,0.0,0.0,0.0,0.8328961868302563,0.6848609250570691,0.0,0.0
root,0.8326168002141365,0.6396339988618188,0.0,0.0,0.6864945645739239,0.0,0.761049231251354,0.0,0.0,1.0,0.0,0.6537756526261111,0.815305357278275,0.8095750199472829,0.0,0.6018460386774959,0.8074727276257908
root differentiation zone,0.7051924854037457,0.0,0.0,0.0,0.4413506645705264,0.0,0.5855807078398778,0.0,0.0,1.0,0.0,0.614187841925876,0.6753132398340248,0.7172237026419652,0.0,0.5334718697430371,0.6827009954175289
root tip,0.8325108566255611,0.5549378108975462,0.0,0.0,0.6931237759508377,0.0,0.7922418806984513,0.0,0.6443148136697349,1.0,0.0,0.6496042072603772,0.8013728382047277,0.7996410436520733,0.48179924404696395,0.6787205944767694,0.7151987525986052
seed imbibition stage,0.7237629937903631,0.0,0.0,0.8725251090517839,0.8706349829608192,0.0,0.7968116742525745,1.0,0.0,0.9130260812798707,0.0,0.8726455448402465,0.8235286792114674,0.7701084222134426,0.8381242035043888,0.0,0.6078255886332488
seedling hypocotyl,0.7829405485484481,0.0,0.0,0.9312280416652913,0.9380921731903769,0.8103678840983836,0.7949943024728177,0.7951735195674584,0.8838877193541402,0.9735069248486673,0.767613852197203,1.0,0.9854524200565182,0.8546783559105299,0.6430257622491746,0.6175980952063553,0.9320975019614408
sepal,0.6998966938262757,0.0,0.0,0.8567990066563778,1.0,0.6540152383217981,0.8278222039070268,0.9893363751451244,0.8882396724387636,0.8649795285343487,0.7977653842140364,0.9874699576298049,0.9654544922214332,0.8677196262472555,0.5004609763837145,0.6296081630407342,0.851008595933645
shoot axis internode,0.6554610917639856,0.0,0.0,0.8959592002834543,0.9292054116992728,0.6194913367419239,0.8029942911415129,0.940034083064455,0.8153604000525478,0.9122491359640993,0.8442176359385162,1.0,0.9800077537344487,0.8476108413445944,0.5428635565197376,0.0,0.9207216439211197
shoot axis node,0.0,0.0,0.0,0.8302770785081369,0.9064777261725332,0.0,0.7982870902587673,0.9075549099729632,0.7260137634173557,0.9236047653779696,0.794483593719782,1.0,0.9446534250459281,0.8934654383467073,0.0,0.0,0.9276982723743016
shoot system meristem,0.6577164916585472,0.0,0.0,0.9122384751250919,0.9118171479958327,0.8522407006542313,0.7877571557928099,0.804843840125575,0.8735742527213496,0.852259137312461,0.8304312582648228,0.9833923608359032,0.9209934183177144,0.7687670982762038,0.531386778273144,0.0,1.0
stamen,0.8101339771429822,0.0,0.0,0.7676773090744055,0.8902604895506724,0.0,0.7912414365184354,0.9543593524131736,0.7456068968899032,1.0,0.6516021547169155,0.9198981917502266,0.8489257682798639,0.8924330496326124,0.648991460446597,0.6672369267985434,0.8262168864698441
vascular leaf senescence stage,0.6910610029967341,0.0,0.0,0.8805188798016155,0.9217035710328597,0.5838867793488837,0.7863354917380402,0.9484080041127116,0.8162374365677588,0.8184905830558457,0.6413664866927519,1.0,0.9697124011982688,0.8259718031599288,0.6020665370467483,0.4931162779295858,0.8198929242409068
